cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,accel_x_g,accel_y_g,accel_z_g,n_samples,timestamp
0.0,0.0,0.0,0.0164,0.0093,-0.9876,12,2026-08-01T14:31:37
0.5,0.0,0.0,0.0289,-0.0134,-0.9916,12,2026-08-01T14:31:38
1.0,0.0,0.0,-0.0515,0.0009,-1.0146,12,2026-08-01T14:31:38
1.5,0.0,0.0,0.0216,0.0241,-0.9865,12,2026-08-01T14:31:39
2.0,0.0,0.0,-0.0208,-0.0084,-0.9886,12,2026-08-01T14:31:39
2.5,0.0,0.0,-0.0176,-0.0097,-0.9860,12,2026-08-01T14:31:40
3.0,0.0,0.0,-0.0321,-0.0130,-0.9987,12,2026-08-01T14:31:40
3.5,0.0,0.0,-0.1381,-0.0283,-0.9818,12,2026-08-01T14:31:41
4.0,0.0,0.0,-0.0319,-0.0186,-0.9925,12,2026-08-01T14:31:42
4.5,0.0,0.0,0.0232,-0.0347,-0.9924,12,2026-08-01T14:31:42
5.0,0.0,0.0,-0.1016,-0.0332,-0.9986,12,2026-08-01T14:31:43
5.5,0.0,0.0,-0.0861,-0.0351,-0.9780,12,2026-08-01T14:31:43
6.0,0.0,0.0,-0.0616,-0.0568,-0.9827,12,2026-08-01T14:31:44
6.5,0.0,0.0,-0.1500,-0.0456,-0.9869,12,2026-08-01T14:31:44
7.0,0.0,0.0,-0.0566,-0.0473,-0.9780,12,2026-08-01T14:31:45
7.5,0.0,0.0,-0.0676,-0.0487,-0.9712,12,2026-08-01T14:31:45
8.0,0.0,0.0,-0.1501,-0.0516,-0.9790,12,2026-08-01T14:31:46
8.5,0.0,0.0,-0.1283,-0.1121,-0.9985,12,2026-08-01T14:31:47
9.0,0.0,0.0,-0.1352,-0.0590,-0.9775,12,2026-08-01T14:31:47
9.5,0.0,0.0,-0.1129,-0.1222,-0.9753,12,2026-08-01T14:31:48
10.0,0.0,0.0,-0.1198,-0.1027,-0.9884,12,2026-08-01T14:31:48
10.5,0.0,0.0,-0.1593,-0.0636,-0.9676,12,2026-08-01T14:31:49
11.0,0.0,0.0,-0.0945,0.0669,-0.9476,12,2026-08-01T14:31:49
11.5,0.0,0.0,-0.1748,-0.1328,-0.9703,12,2026-08-01T14:31:50
12.0,0.0,0.0,-0.1717,-0.0822,-0.9700,12,2026-08-01T14:31:51
0.5,0.1,0.0,-0.0174,-0.0016,-0.9886,12,2026-08-01T14:31:54
1.0,0.3,0.0,-0.1005,0.0121,-0.9876,12,2026-08-01T14:31:55
1.4,0.4,0.0,-0.0285,-0.0030,-0.9719,12,2026-08-01T14:31:55
1.9,0.5,0.0,-0.0129,-0.0049,-0.9884,12,2026-08-01T14:31:56
2.4,0.6,0.0,0.0490,0.0103,-0.9948,12,2026-08-01T14:31:56
2.9,0.8,0.0,0.0462,-0.0085,-0.9910,12,2026-08-01T14:31:57
3.4,0.9,0.0,-0.0632,0.0123,-0.9855,12,2026-08-01T14:31:57
3.9,1.0,0.0,-0.0463,-0.0116,-0.9849,12,2026-08-01T14:31:58
4.3,1.2,0.0,-0.0197,0.0001,-0.9830,12,2026-08-01T14:31:58
4.8,1.3,0.0,0.0195,-0.0316,-0.9939,12,2026-08-01T14:31:59
5.3,1.4,0.0,-0.1324,0.0217,-0.9728,12,2026-08-01T14:32:00
5.8,1.6,0.0,-0.0737,-0.0692,-0.9876,12,2026-08-01T14:32:00
6.3,1.7,0.0,-0.2037,-0.0350,-0.9833,12,2026-08-01T14:32:01
6.8,1.8,0.0,-0.1218,-0.0073,-0.9753,12,2026-08-01T14:32:01
7.2,1.9,0.0,-0.1186,0.0102,-0.9810,12,2026-08-01T14:32:02
7.7,2.1,0.0,-0.1250,-0.0249,-0.9793,12,2026-08-01T14:32:02
8.2,2.2,0.0,-0.1010,-0.0284,-0.9780,12,2026-08-01T14:32:03
8.7,2.3,0.0,-0.0671,0.0112,-0.9718,12,2026-08-01T14:32:03
9.2,2.5,0.0,-0.1751,-0.0903,-0.9830,12,2026-08-01T14:32:04
9.7,2.6,0.0,-0.0631,-0.1224,-0.9993,12,2026-08-01T14:32:04
10.1,2.7,0.0,-0.1817,-0.0422,-0.9633,12,2026-08-01T14:32:05
10.6,2.8,0.0,-0.1265,-0.0125,-0.9729,12,2026-08-01T14:32:06
11.1,3.0,0.0,-0.2128,-0.0206,-0.9751,12,2026-08-01T14:32:06
11.6,3.1,0.0,-0.2249,0.0061,-0.9758,12,2026-08-01T14:32:07
12.1,3.2,0.0,-0.2422,-0.0322,-0.9669,12,2026-08-01T14:32:07
12.6,3.4,0.0,-0.1049,-0.0884,-0.9663,12,2026-08-01T14:32:08
0.4,0.3,0.0,-0.0250,-0.0009,-0.9902,12,2026-08-01T14:32:11
0.9,0.5,0.0,-0.0030,0.0244,-0.9840,12,2026-08-01T14:32:12
1.3,0.8,0.0,-0.0240,0.0118,-0.9891,12,2026-08-01T14:32:12
1.7,1.0,0.0,-0.1226,0.0064,-0.9902,12,2026-08-01T14:32:13
2.2,1.2,0.0,-0.0221,0.0282,-0.9933,12,2026-08-01T14:32:13
2.6,1.5,0.0,-0.0488,0.0041,-0.9882,12,2026-08-01T14:32:14
3.0,1.7,0.0,-0.0595,0.0013,-0.9878,12,2026-08-01T14:32:14
3.5,2.0,0.0,-0.1054,0.0024,-0.9943,12,2026-08-01T14:32:15
3.9,2.2,0.0,-0.0861,0.0124,-0.9867,12,2026-08-01T14:32:15
4.3,2.5,0.0,-0.0665,0.0319,-0.9834,12,2026-08-01T14:32:16
4.8,2.7,0.0,-0.0806,0.0057,-0.9908,12,2026-08-01T14:32:17
5.2,3.0,0.0,-0.0812,0.0867,-0.9740,12,2026-08-01T14:32:17
5.6,3.2,0.0,-0.0944,-0.0070,-0.9817,12,2026-08-01T14:32:18
6.1,3.5,0.0,-0.1654,0.0274,-0.9846,12,2026-08-01T14:32:18
6.5,3.7,0.0,-0.1225,0.0140,-0.9932,12,2026-08-01T14:32:19
6.9,4.0,0.0,-0.1249,0.0116,-0.9787,12,2026-08-01T14:32:19
7.4,4.3,0.0,-0.1674,-0.0757,-0.9777,12,2026-08-01T14:32:20
7.8,4.5,0.0,-0.2010,-0.0019,-0.9805,12,2026-08-01T14:32:20
8.2,4.8,0.0,-0.1571,0.0258,-0.9752,12,2026-08-01T14:32:21
8.7,5.0,0.0,-0.2288,0.0409,-0.9873,12,2026-08-01T14:32:21
9.1,5.3,0.0,-0.1369,0.0192,-0.9707,12,2026-08-01T14:32:22
