cmd_roll_deg,cmd_pitch_deg,status
12.5,0.0,unreachable
13.0,3.5,unreachable
14.3,8.3,unreachable
9.9,9.9,unreachable
6.2,10.8,unreachable
3.1,11.6,unreachable
-0.0,12.5,unreachable
-3.1,11.6,unreachable
-6.3,10.8,unreachable
-9.9,9.9,unreachable
-14.3,8.3,unreachable
-13.0,3.5,unreachable
-12.5,-0.0,unreachable
-11.6,-3.1,unreachable
-10.4,-6.0,unreachable
-8.5,-8.5,unreachable
-6.0,-10.4,unreachable
-3.5,-13.0,unreachable
0.0,-17.0,unreachable
3.5,-13.0,unreachable
6.0,-10.4,unreachable
8.5,-8.5,unreachable
10.4,-6.0,unreachable
11.6,-3.1,unreachable
